Date,Open,High,Low,Close,Adj Close,Volume
2022-03-21,232.949997,233.399994,227.350006,227.949997,226.140045,12356508
2022-03-22,229.100006,231.899994,226.300003,231.399994,229.562653,14893566
2022-03-23,232.350006,237.449997,231.649994,234.300003,232.439636,29507641
2022-03-24,234.000000,241.000000,232.949997,239.500000,237.598343,31525902
2022-03-25,240.000000,244.300003,239.199997,241.350006,239.433655,24286187
2022-03-28,242.550003,244.000000,237.449997,239.600006,237.697556,14835527
2022-03-29,243.600006,244.899994,238.500000,239.100006,237.201523,20061075
2022-03-30,240.949997,244.899994,237.750000,241.699997,239.780869,22893839
2022-03-31,242.899994,242.899994,237.649994,238.649994,236.755081,13956014
2022-04-01,237.649994,246.350006,237.100006,245.449997,243.501099,25666798
2022-04-04,247.149994,253.550003,246.100006,251.949997,249.949478,39380622
2022-04-05,253.850006,275.250000,252.100006,273.600006,271.427582,94568156
2022-04-06,275.950012,296.500000,273.100006,289.799988,287.498932,227551020
2022-04-07,292.350006,298.049988,276.000000,277.799988,275.594238,151174247
2022-04-08,280.899994,282.799988,273.049988,278.100006,275.891846,64353330
2022-04-11,281.000000,288.450012,280.350006,282.899994,280.653748,47972951
2022-04-12,283.350006,283.350006,271.600006,275.149994,272.965271,44771140
2022-04-13,278.600006,280.299988,272.299988,273.100006,270.931549,31460232
2022-04-18,267.899994,267.899994,252.000000,257.899994,255.852234,89819229
2022-04-19,260.500000,262.000000,242.500000,246.449997,244.493149,53483065
2022-04-20,250.000000,254.699997,246.550003,249.649994,247.667740,41573598
2022-04-21,253.000000,260.200012,250.699997,258.850006,256.794708,40617734
2022-04-22,258.000000,259.000000,252.300003,253.100006,251.090363,30569068
2022-04-25,248.000000,251.550003,244.699997,247.350006,245.386017,24620801
2022-04-26,251.149994,251.449997,248.050003,248.850006,246.874115,17965504
2022-04-27,247.800003,255.250000,245.500000,247.350006,245.386017,32027943
2022-04-28,250.899994,250.899994,244.399994,248.250000,246.278870,20911099
2022-04-29,250.899994,253.199997,240.850006,242.350006,240.425720,26234765
2022-05-02,240.000000,249.649994,238.399994,248.500000,246.526886,26535475
2022-05-04,249.850006,254.199997,242.850006,244.949997,243.005066,30780217
2022-05-05,248.949997,251.300003,244.949997,247.500000,245.534821,24304759
2022-05-06,243.000000,247.000000,240.649994,245.199997,243.253082,28044381
2022-05-09,235.000000,236.500000,223.050003,230.000000,228.173767,60959066
2022-05-10,229.949997,234.500000,220.649994,222.149994,220.386093,30274946
2022-05-11,222.800003,229.800003,219.500000,226.500000,224.701569,35097575
2022-05-12,225.800003,227.050003,217.050003,219.050003,217.310715,29320356
2022-05-13,225.000000,229.199997,221.300003,222.800003,221.030945,33108597
2022-05-16,224.899994,227.649994,220.500000,226.600006,224.800781,22192986
2022-05-17,228.949997,242.500000,227.850006,241.149994,239.235229,34735919
2022-05-18,243.350006,243.350006,236.500000,237.699997,235.812637,25004758
2022-05-19,229.500000,232.600006,226.350006,228.449997,226.636078,23697546
2022-05-20,232.500000,236.000000,230.250000,233.250000,231.397964,18294157
2022-05-23,234.949997,235.899994,228.750000,229.800003,227.975372,16642801
2022-05-24,230.199997,231.399994,224.750000,227.000000,225.197601,17636195
2022-05-25,229.000000,229.899994,220.000000,220.899994,219.146027,16194564
2022-05-26,222.949997,224.300003,210.199997,221.449997,219.691666,34963419
2022-05-27,225.699997,226.800003,222.699997,224.649994,222.866241,16159280
2022-05-30,227.899994,233.899994,227.000000,233.250000,231.397964,19674867
2022-05-31,232.899994,237.600006,231.300003,235.149994,233.282883,21535025
2022-06-01,233.600006,236.199997,230.550003,232.750000,230.901932,14805104
2022-06-02,232.000000,235.899994,231.300003,234.199997,232.340424,13296442
2022-06-03,236.300003,236.850006,230.199997,231.050003,229.215439,11433422
2022-06-06,231.000000,233.600006,227.550003,232.250000,230.405914,11689465
2022-06-07,230.899994,235.500000,229.750000,234.750000,232.886063,14994271
2022-06-08,235.949997,236.399994,231.100006,233.000000,231.149948,13235033
2022-06-09,232.000000,234.699997,231.399994,233.050003,231.199554,10241164
2022-06-10,231.399994,232.399994,229.000000,230.250000,228.421783,9619461
2022-06-13,223.449997,226.350006,218.899994,219.500000,217.757141,19190225
2022-06-14,214.699997,224.399994,214.649994,220.399994,218.649994,16235651
2022-06-15,221.000000,222.300003,218.300003,218.949997,218.949997,11820899
2022-06-16,222.399994,223.300003,209.000000,209.800003,209.800003,22486470
2022-06-17,209.800003,213.949997,207.050003,210.300003,210.300003,20447908
2022-06-20,211.800003,212.899994,190.000000,194.899994,194.899994,46007687
2022-06-21,197.800003,207.750000,192.500000,204.550003,204.550003,40390379
2022-06-22,203.699997,204.600006,199.000000,201.300003,201.300003,19099052
2022-06-23,201.300003,204.899994,198.649994,202.949997,202.949997,20176334
2022-06-24,204.899994,208.750000,203.699997,207.899994,207.899994,16789270
2022-06-27,209.899994,211.600006,207.649994,208.149994,208.149994,18526023
2022-06-28,206.100006,209.149994,204.899994,208.649994,208.649994,13321760
2022-06-29,206.100006,209.699997,205.750000,207.300003,207.300003,12179447
2022-06-30,207.300003,209.250000,201.399994,202.199997,202.199997,16161389
2022-07-01,202.699997,207.649994,200.600006,207.000000,207.000000,15807993
2022-07-04,207.699997,212.800003,207.199997,211.449997,211.449997,14714951
2022-07-05,214.500000,217.100006,212.000000,212.800003,212.800003,18209477
2022-07-06,212.500000,214.100006,210.100006,212.000000,212.000000,6967710
